labels,gonzalez_alegre_pilot_09,gonzalez_alegre_pilot_13,gonzalez_alegre_pilot_11,gonzalez_alegre_pilot_08,gonzalez_alegre_pilot_15,gonzalez_alegre_pilot_05,gonzalez_alegre_pilot_06,gonzalez_alegre_pilot_10,gonzalez_alegre_pilot_07,gonzalez_alegre_pilot_12,gonzalez_alegre_pilot15
2,0.863323613279255,0.886444561599266,0.644880373404707,0.679024356346201,0.845921000505593,0.947051575642135,0.803608846431872,0.815339132530421,0.824983704470754,0.864103906869156,0.839834057495019
3,0.749268753310763,0.779517852250936,0.45050377414957,0.485492344263121,0.720397351291594,0.896359829954498,0.63164078770908,0.677252192972994,0.714349840938021,0.765488401236838,0.716950805461244
4,0.776216216216216,0.821646864913124,0.506765398855604,0.814342233361642,0.758355109338468,0.947515998462339,0.867313360231207,0.729461279461279,0.902022471910112,0.946842984521868,0.7439293598234
7,0.822681345196803,0.901197998946814,0.620294666943349,0.783351997013811,0.866458463460337,0.911413713289446,0.844993509690703,0.787809053405551,0.766860949208992,0.889360780065005,0.818664658838851
8,0.900865714329648,0.942188434658166,0.766758066463173,0.853611754801642,0.864513443604253,0.945796032477768,0.902952415167053,0.816436323161117,0.872127425987607,0.935868292346904,0.824611973392461
10,0.873148815796772,0.90085264538697,0.718889704410489,0.851497249949073,0.896637022203899,0.942063940062606,0.885908927931158,0.877829126673776,0.924737057778992,0.911657083115525,0.905839097650651
11,0.821444797819173,0.840005540933647,0.586046511627907,0.352083333333333,0.861499764188021,0.862408553742262,0.429068957511029,0.822387053270398,0.885836385836386,0.823235130628127,0.88302823456407
12,0.848308554190907,0.86218864842793,0.605675436003547,0.650724384709373,0.847689362865737,0.902277572085718,0.802791161322479,0.8114342040414,0.845241304933944,0.88175605715469,0.887630088262416
13,0.806451612903226,0.853667953667954,0.463768115942029,0.54013503375844,0.816452442159383,0.881488286632981,0.755639097744361,0.746481922494046,0.813426573426573,0.867765427366807,0.87007874015748
14,0.82760989010989,0.826413206603302,0.607936507936508,0.81687325069972,0.673267326732673,0.925386313465784,0.831015790714117,0.717488789237668,0.834065934065934,0.910963312593864,0.713525026624068
15,0.786466999445369,0.873883685471575,0.606135729779981,0.580925594477116,0.675862068965517,0.885939036381514,0.81002004008016,0.669189189189189,0.757980266976204,0.867770838989954,0.658119658119658
16,0.934952360484275,0.953896550329599,0.836843006334532,0.893720025337074,0.918403445358763,0.95390625,0.885394943412142,0.906125457854362,0.915303867403315,0.936498392198897,0.911597305623727
17,0.759203648092537,0.816422418615058,0.577923784494087,0.795586058403983,0.818006430868167,0.883379816134697,0.747252747252747,0.705523033850853,0.832895888013998,0.871651090342679,0.783580150688491
18,0.775449985246385,0.820543093270366,0.540022132054592,0.746041798606713,0.900328587075575,0.893306492199296,0.702821546353976,0.749667110519308,0.846307385229541,0.887517797816801,0.872118959107807
24,0.727378867483946,0.688553682342502,0.440844009042954,0.710864485981309,0.653186274509804,0.872074382815005,0.75868603916614,0.622604097818903,0.795778364116095,0.847632442569151,0.642297650130548
26,0.491525423728813,0.585034013605442,0.070339976553341,0.359073359073359,0.708074534161491,0.810989010989011,0.426966292134832,0.591117917304747,0.8,0.591029023746702,0.645468998410175
28,0.81169272603671,0.79789029535865,0.540866835687553,0.817488006977758,0.8750598372427,0.889878695981805,0.78852495053858,0.779772380617154,0.883178219197111,0.830257782786308,0.853128991060025
41,0.86989245027861,0.88489911340009,0.689216090361393,0.687873527424036,0.777038573279113,0.9510783602801,0.816823032814846,0.869628481372397,0.828198351019764,0.853601469268636,0.789227687513911
42,0.758711260982268,0.775077588639142,0.473919847201933,0.499223900640886,0.630929728420894,0.912074342586985,0.641952223122201,0.769028683336916,0.714142558668073,0.748931954338824,0.653810843996528
43,0.79921047909564,0.805050353224109,0.571029017597017,0.89117845767783,0.645238451188519,0.94954898911353,0.928004006100198,0.796376329787234,0.884560570071259,0.939671937093092,0.673922767258089
46,0.833691555306358,0.888553054662379,0.658643710470836,0.745091766963893,0.796670520231214,0.835899220862674,0.783144540099683,0.842703078270852,0.808485347231747,0.902487924906589,0.774063558933968
47,0.910515519893819,0.935239187940211,0.817951786630193,0.838749755950374,0.804393946537174,0.924795104360179,0.883638256135153,0.86658210443758,0.895981087470449,0.935502447451771,0.789594172736733
49,0.893428165007112,0.904769818846601,0.766662178537768,0.916446073440576,0.873982372333984,0.924464236014473,0.91459746800028,0.89162155801365,0.935989826197541,0.913813286508633,0.868146304362857
50,0.801083276912661,0.817465800746165,0.524070879724008,0.745382859514422,0.771754865690848,0.896088264794383,0.784479947831757,0.843205574912892,0.855004677268475,0.82823259372609,0.81126578180641
51,0.824835526315789,0.871789902122299,0.627189583010386,0.784405318002156,0.864,0.877226872719467,0.822964867180806,0.885,0.909610841725724,0.893508697496818,0.875014399262758
52,0.848647532521164,0.826965305226175,0.549130897481376,0.827430293896006,0.825099375354912,0.707096774193548,0.747342600163532,0.821411425828133,0.895085588072888,0.884713919726729,0.816810344827586
53,0.787115727625643,0.80511792227633,0.550581317653348,0.833048154485456,0.710580380071905,0.901529171130807,0.881634687266384,0.799040191961608,0.866857469948483,0.863207547169811,0.74805598755832
54,0.837126810523204,0.809187279151943,0.631870031109575,0.660313138189244,0.831644328211834,0.861208304175414,0.821989528795812,0.804069576632754,0.904775687409551,0.867640918580376,0.849444257325699
58,0.617940199335548,0.7417004048583,0.405797101449275,0.507103825136612,0.784810126582278,0.805369127516779,0.599250936329588,0.72210953346856,0.751269035532995,0.497257769652651,0.739650413983441
60,0.839525973447385,0.807610993657505,0.550376707955561,0.86305767740507,0.815859030837004,0.884939704415631,0.847050512186507,0.790900518623291,0.8792437757955,0.844643099011242,0.810968921389397
251,0.888999008919723,0.86,0.509490509490509,0.579881656804734,0.750605326876513,0.953051643192488,0.705882352941176,0.774096385542169,0.883447600391773,0.257648953301127,0.782995551161641
252,0.806244260789715,0.784313725490196,0.41025641025641,0.411099691675231,0.669172932330827,0.877319587628866,0.560560560560561,0.812967581047382,0.831168831168831,0.20743301642178,0.722093918398768
253,0.835286859962986,0.798472634705134,0.467532467532467,0.490783410138249,0.653927813163482,0.921034241788959,0.552763819095477,0.82258064516129,0.859630032644179,0.287515762925599,0.777896995708155
254,0.770022042615724,0.714870395634379,0.392523364485981,0.485645933014354,0.630898513251454,0.860912589334799,0.54014598540146,0.742251223491028,0.812430632630411,0.481687014428413,0.760511882998172
255,0.855949895615866,0.733333333333333,0.37410071942446,0.535311572700297,0.787578757875788,0.90359168241966,0.608042895442359,0.834085213032581,0.87153134635149,0.647435897435897,0.894139027714675
